Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Model,Run
0.813017751,0.81132197,0.905740828,0.890235318,0.646350432,0.751865672,0.941588785,0.681055156,0.836099585,LGBM_ECFP,1
0.814201183,0.812551828,0.898227213,0.881042741,0.647591365,0.754221388,0.939252336,0.685851319,0.836628512,LGBM_ECFP,2
0.820118343,0.818516215,0.909349156,0.893648709,0.658655378,0.760377358,0.941588785,0.695443645,0.841336117,LGBM_ECFP,3
0.78816568,0.78688171,0.878882875,0.887187149,0.586130388,0.74459725,0.885514019,0.6882494,0.808964781,LGBM_ESTATE,1
0.777514793,0.776275241,0.87692743,0.884869217,0.563620482,0.73715415,0.871495327,0.681055156,0.798715203,LGBM_ESTATE,2
0.778698225,0.777381833,0.874406083,0.879346239,0.567301899,0.735812133,0.878504673,0.676258993,0.80085197,LGBM_ESTATE,3
0.766863905,0.765761223,0.841950738,0.834981095,0.539937765,0.732394366,0.85046729,0.681055156,0.787027027,LGBM_MACCS,1
0.753846154,0.752972388,0.840415518,0.834793576,0.510994466,0.728215768,0.820093458,0.685851319,0.771428571,LGBM_MACCS,2
0.758579882,0.757645286,0.836655909,0.825117912,0.521166808,0.730452675,0.829439252,0.685851319,0.776805252,LGBM_MACCS,3
0.753846154,0.75269504,0.85131054,0.85728974,0.514069782,0.72,0.841121495,0.664268585,0.775862069,LGBM_PHYCHEM,1
0.768047337,0.766929447,0.856554943,0.865182381,0.542546524,0.732931727,0.852803738,0.681055156,0.788336933,LGBM_PHYCHEM,2
0.75147929,0.750327775,0.858151796,0.86482636,0.50925394,0.718,0.838785047,0.661870504,0.773706897,LGBM_PHYCHEM,3
0.810650888,0.809016338,0.90989825,0.901922861,0.639842914,0.751879699,0.934579439,0.683453237,0.833333333,LGBM_RDKIT,1
0.81183432,0.810431094,0.909668527,0.904298406,0.636946463,0.760154739,0.918224299,0.70263789,0.831746032,LGBM_RDKIT,2
0.824852071,0.823312378,0.920543939,0.914507855,0.666889725,0.766159696,0.941588785,0.705035971,0.844863732,LGBM_RDKIT,3
