,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
RDKIT,0.813 ± 0.001,0.813 ± 0.001,0.888 ± 0.001,0.894 ± 0.000,0.626 ± 0.002,0.825 ± 0.002,0.787 ± 0.002,0.838 ± 0.003,0.806 ± 0.001
ECFP,0.788 ± 0.004,0.787 ± 0.004,0.864 ± 0.002,0.867 ± 0.001,0.576 ± 0.008,0.801 ± 0.005,0.753 ± 0.003,0.821 ± 0.005,0.776 ± 0.004
ESTATE,0.787 ± 0.003,0.786 ± 0.003,0.863 ± 0.001,0.868 ± 0.000,0.575 ± 0.005,0.810 ± 0.002,0.740 ± 0.004,0.832 ± 0.002,0.773 ± 0.003
MACCS,0.785 ± 0.002,0.784 ± 0.002,0.863 ± 0.000,0.869 ± 0.000,0.571 ± 0.004,0.804 ± 0.001,0.746 ± 0.003,0.823 ± 0.001,0.774 ± 0.002
PHYCHEM,0.708 ± 0.003,0.707 ± 0.003,0.782 ± 0.001,0.776 ± 0.001,0.417 ± 0.007,0.727 ± 0.004,0.644 ± 0.005,0.769 ± 0.003,0.683 ± 0.004
