rgroup_label,clean_smi,group,mean_shap,effect
R5,FC(F)O,Active,0.0010703865,Positive
R2,NS(=O)(=O),Active,0.000454126,Positive
R6,CC(C)(C),Active,0.000354379,Positive
R4,CC(=O),Active,0.0006318375,Positive
R3,FC(F)O,Active,0.0010703865,Positive
R8,O=C(O),Active,0.000413822,Positive
R10,CO,Active,0.0004921805,Positive
R2,CC(C)=CC,Active,0.00105245,Positive
R4,CC(C)=CC,Active,0.00105245,Positive
R1,C[C@H](C#C)N(O)C(N)=O,Active,0.000691245,Positive
R6,O=C(O)C,Active,0.0002713005,Positive
R3,CN(N)CC,Active,0.001445222,Positive
R4,CC(=O)O,Active,0.0002713005,Positive
R1,CC(C)=CC,Active,0.00105245,Positive
R3,COC(CN(C)N),Active,0.0014371545,Positive
R3,O=C(O)/C=C/,Active,0.000944294,Positive
R6,O=C(O),Active,0.000413822,Positive
R1,CC(C#C)N(O)C(N)=O,Active,0.000691245,Positive
R1,C=CC,Active,0.0003877499999999,Positive
R2,CO,Mixed,0.0004921805,Positive
R7,CO,Mixed,0.0004921805,Positive
R8,CO,Mixed,0.0004921805,Positive
R4,NS(=O)(=O),Mixed,0.000454126,Positive
R5,CC(C)C,Mixed,0.000354379,Positive
R7,FC(F)(F),Mixed,0.0008252604999999,Positive
R1,O=[N+]([O-]),Mixed,0.0011578905,Positive
R5,CC(=O),Mixed,0.0006318375,Positive
R4,C=CC,Mixed,0.0003877499999999,Positive
R2,CS(=O)(=O),Mixed,0.000345174,Positive
R4,FC(F)(F)O,Mixed,0.0011405949999999,Positive
R4,O=[N+]([O-]),Mixed,0.0011578905,Positive
R8,FC(F)(F),Mixed,0.0008252604999999,Positive
R5,CCCCCCNC(=O)O,Mixed,0.001434392,Positive
R5,O=[N+]([O-]),Mixed,0.0011578905,Positive
R3,O=[N+]([O-]),Mixed,0.0011578905,Positive
R3,CC(=O),Mixed,0.0006318375,Positive
R3,CC(=O)O,Mixed,0.0002713005,Positive
R7,CC(=O),Mixed,0.0006318375,Positive
