rgroup_label,rgroup_smiles,clean_smi,active_count,inactive_count,mean_shap_xgb,mean_shap_bilstm,mean_shap_avg,effect
R2,CO[*:2],CO,87,6,0.000492181,0.000105657,0.000298919,Positive
R7,CO[*:7],CO,70,6,0.000492181,0.00010753,0.000299855,Positive
R8,CO[*:8],CO,46,3,0.000492181,0.000123997,0.000308089,Positive
R5,CC(C)C[*:5],CC(C)C,43,5,0.000354379,0.000100047,0.000227213,Positive
R1,O=[N+]([O-])[*:1],O=[N+]([O-]),23,2,0.001157891,0.000153896,0.000655893,Positive
R4,NS(=O)(=O)[*:4],NS(=O)(=O),23,1,0.000454126,5.88E-05,0.000256441,Positive
R5,CC(=O)[*:5],CC(=O),20,2,0.000631838,0.000107337,0.000369587,Positive
R7,FC(F)(F)[*:7],FC(F)(F),18,1,0.00082526,0.000106356,0.000465808,Positive
R2,CS(=O)(=O)[*:2],CS(=O)(=O),18,2,0.000345174,0.000147741,0.000246457,Positive
R8,FC(F)(F)[*:8],FC(F)(F),14,2,0.00082526,0.000144037,0.000484649,Positive
R5,CCCCCCNC(=O)O[*:5],CCCCCCNC(=O)O,13,2,0.001434392,0.000153383,0.000793887,Positive
R5,O=[N+]([O-])[*:5],O=[N+]([O-]),13,2,0.001157891,0.000168115,0.000663003,Positive
R4,C=CC[*:4],C=CC,13,1,0.00038775,0.000132939,0.000260344,Positive
R4,FC(F)(F)O[*:4],FC(F)(F)O,10,1,0.001140595,0.00015935,0.000649972,Positive
R4,O=[N+]([O-])[*:4],O=[N+]([O-]),10,1,0.001157891,0.000195427,0.000676659,Positive
R3,O=[N+]([O-])[*:3],O=[N+]([O-]),9,1,0.001157891,0.000148202,0.000653046,Positive
R3,CC(=O)[*:3],CC(=O),8,1,0.000631838,0.000123171,0.000377504,Positive
R7,CC(=O)[*:7],CC(=O),6,1,0.000631838,0.000112769,0.000372303,Positive
R3,CC(=O)O[*:3],CC(=O)O,6,1,0.000271301,0.000100106,0.000185703,Positive
